@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
759000 , 3 , 3 , 2400 , 316.25 , 20.4099998
700000 , 3 , 3 , 3300 , 212.121216 , 20.4099998
650000 , 4 , 2 , 1725 , 376.811584 , 20.4099998
449000 , 4 , 3 , 2023 , 221.947601 , 20.4099998
178340 , 2 , 1 , 1000 , 178.339996 , 5.86999989
318000 , 3 , 1 , 1300 , 244.615387 , 5.86999989
242150 , 3 , 2 , 1310 , 184.847336 , 5.86999989
330000 , 3 , 3 , 1670 , 197.604797 , 5.19000006
624900 , 4 , 2 , 2639 , 236.794235 , 5.19000006
210000 , 3 , 1 , 1000 , 210 , 5.19000006
495000 , 3 , 2 , 1560 , 317.307678 , 6.17000008
199280 , 3 , 1 , 1040 , 191.615387 , 14.1999998
255000 , 3 , 1 , 1080 , 236.111115 , 14.1999998
49900 , 3 , 2 , 1056 , 47.253788 , 14.1999998
279000 , 3 , 2 , 1244 , 224.27652 , 14.1999998
230000 , 3 , 2 , 1247 , 184.442657 , 14.1999998
229900 , 3 , 2 , 1263 , 182.026917 , 14.1999998
250000 , 3 , 2 , 1261 , 198.255356 , 14.1999998
189000 , 3 , 2 , 1256 , 150.477707 , 14.1999998
220000 , 3 , 2 , 1390 , 158.273376 , 14.1999998
272000 , 3 , 2 , 1573 , 172.917984 , 14.1999998
333900 , 3 , 2 , 1603 , 208.296936 , 14.1999998
329000 , 3 , 2 , 1662 , 197.954269 , 14.1999998
343390 , 3 , 2 , 1658 , 207.110977 , 14.1999998
456000 , 3 , 2 , 1770 , 257.627106 , 14.1999998
185000 , 3 , 3 , 1448 , 127.762428 , 14.1999998
369000 , 3 , 3 , 1740 , 212.06897 , 14.1999998
403900 , 3 , 3 , 2386 , 169.279129 , 14.1999998
270000 , 4 , 2 , 1237 , 218.270004 , 14.1999998
285000 , 4 , 2 , 1220 , 233.606552 , 14.1999998
280000 , 4 , 2 , 1237 , 226.35408 , 14.1999998
315000 , 4 , 2 , 1400 , 225 , 14.1999998
301500 , 4 , 2 , 1410 , 213.829788 , 14.1999998
285000 , 4 , 2 , 1688 , 168.838867 , 14.1999998
568000 , 4 , 3 , 3150 , 180.317459 , 14.1999998
612900 , 4 , 3 , 3200 , 191.53125 , 14.1999998
109000 , 1 , 1 , 600 , 181.666672 , 37.6699982
373500 , 2 , 1 , 780 , 478.846161 , 37.6699982
349000 , 2 , 1 , 800 , 436.25 , 37.6699982
415000 , 2 , 2 , 952 , 435.924377 , 37.6699982
437500 , 2 , 2 , 892 , 490.470856 , 37.6699982
489900 , 2 , 2 , 1088 , 450.275726 , 37.6699982
437000 , 2 , 2 , 1300 , 336.153839 , 37.6699982
499950 , 2 , 2 , 1396 , 358.130371 , 37.6699982
479000 , 3 , 2 , 980 , 488.775513 , 37.6699982
429000 , 3 , 2 , 1171 , 366.353546 , 37.6699982
423000 , 3 , 2 , 1159 , 364.969788 , 37.6699982
435000 , 3 , 2 , 1297 , 335.389374 , 37.6699982
450000 , 3 , 2 , 1492 , 301.608582 , 37.6699982
459000 , 3 , 2 , 1535 , 299.022797 , 37.6699982
679000 , 3 , 2 , 1800 , 377.222229 , 37.6699982
549000 , 3 , 2 , 1953 , 281.105988 , 37.6699982
639000 , 3 , 2 , 2144 , 298.041046 , 37.6699982
522000 , 3 , 3 , 1529 , 341.399597 , 37.6699982
598500 , 3 , 3 , 2100 , 285 , 37.6699982
845000 , 3 , 3 , 2550 , 331.372559 , 37.6699982
974000 , 3 , 3 , 2840 , 342.957733 , 37.6699982
971840 , 3 , 3 , 3374 , 288.037933 , 37.6699982
2499000 , 6 , 7 , 5126 , 487.514618 , 37.6699982
395000 , 2 , 2 , 1200 , 329.166656 , 36.2200012
549000 , 3 , 2 , 1177 , 466.440094 , 36.2200012
590000 , 3 , 3 , 1341 , 439.970184 , 36.2200012
700000 , 2 , 2 , 1408 , 497.159088 , 36.2200012
895000 , 3 , 3 , 1550 , 577.419373 , 36.2200012
785000 , 2 , 2 , 1563 , 502.239288 , 36.2200012
495000 , 4 , 2 , 1800 , 275 , 36.2200012
694000 , 4 , 2 , 2245 , 309.131409 , 36.2200012
735000 , 3 , 3 , 2016 , 364.583344 , 36.2200012
694000 , 3 , 3 , 2068 , 335.589935 , 36.2200012
750000 , 3 , 2 , 2274 , 329.815308 , 36.2200012
849500 , 3 , 3 , 2402 , 353.663605 , 36.2200012
1340000 , 4 , 3 , 3200 , 418.75 , 36.2200012
1550000 , 4 , 4 , 3400 , 455.882355 , 36.2200012
5500000 , 4 , 3 , 3780 , 1455.02649 , 36.2200012
89100 , 3 , 1 , 1056 , 84.375 , 18.2999992
225000 , 2 , 2 , 840 , 267.857147 , 24.8500004
159000 , 3 , 1 , 1000 , 159 , 24.8500004
359000 , 2 , 2 , 980 , 366.326538 , 24.8500004
379000 , 3 , 2 , 1100 , 344.545441 , 24.8500004
350000 , 3 , 2 , 1106 , 316.455688 , 24.8500004
374900 , 3 , 1 , 1100 , 340.818176 , 24.8500004
380000 , 3 , 2 , 1128 , 336.879425 , 24.8500004
680000 , 2 , 2 , 1200 , 566.666687 , 24.8500004
425000 , 4 , 2 , 1284 , 330.996887 , 24.8500004
345000 , 4 , 2 , 1344 , 256.696442 , 24.8500004
550000 , 3 , 2 , 1328 , 414.156616 , 24.8500004
449000 , 3 , 3 , 1655 , 271.299103 , 24.8500004
474900 , 4 , 2 , 1600 , 296.8125 , 24.8500004
499000 , 3 , 2 , 1650 , 302.424255 , 24.8500004
419900 , 4 , 2 , 1638 , 256.349213 , 24.8500004
499000 , 3 , 2 , 1796 , 277.83963 , 24.8500004
499000 , 4 , 2 , 1838 , 271.490753 , 24.8500004
595000 , 3 , 3 , 1982 , 300.201813 , 24.8500004
569000 , 4 , 2 , 1933 , 294.361084 , 24.8500004
599900 , 4 , 2 , 1996 , 300.551117 , 24.8500004
775000 , 2 , 2 , 2005 , 386.533661 , 24.8500004
469000 , 4 , 2 , 2030 , 231.034485 , 24.8500004
399000 , 4 , 2 , 2144 , 186.100754 , 24.8500004
800000 , 4 , 2 , 2329 , 343.495056 , 24.8500004
1100000 , 3 , 3 , 2430 , 452.674896 , 24.8500004
799000 , 4 , 3 , 2544 , 314.072327 , 24.8500004
699000 , 7 , 5 , 2700 , 258.888885 , 24.8500004
924900 , 3 , 3 , 2846 , 324.982422 , 24.8500004
929000 , 5 , 3 , 3080 , 301.623383 , 24.8500004
699000 , 4 , 4 , 3289 , 212.526611 , 24.8500004
1199000 , 3 , 3 , 3645 , 328.943756 , 24.8500004
1188000 , 3 , 5 , 4556 , 260.755035 , 24.8500004
1479000 , 4 , 4 , 4962 , 298.065308 , 24.8500004
495000 , 2 , 1 , 800 , 618.75 , 13.3800001
235000 , 2 , 2 , 900 , 261.111115 , 13.3800001
350000 , 2 , 1 , 989 , 353.892822 , 13.3800001
269900 , 2 , 2 , 974 , 277.104736 , 13.3800001
152000 , 3 , 2 , 1200 , 126.666664 , 13.3800001
