@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
3 , 219.183929 , 4.92999983
3 , 225.064774 , 4.92999983
3 , 216.409393 , 4.92999983
3 , 165.471313 , 4.92999983
2 , 207.756226 , 4.92999983
4 , 140.240479 , 4.92999983
4 , 164.520081 , 4.92999983
3 , 184.799057 , 4.92999983
3 , 276.851837 , 4.92999983
3 , 284.900299 , 4.92999983
4 , 222.667435 , 4.92999983
2 , 217.601547 , 4.92999983
3 , 244.266922 , 4.92999983
3 , 207.876907 , 4.92999983
5 , 218.505783 , 4.92999983
3 , 159.053833 , 4.92999983
3 , 196.067413 , 4.92999983
3 , 303.811646 , 4.92999983
4 , 196.207153 , 4.92999983
3 , 241.796204 , 4.92999983
4 , 215.478622 , 4.92999983
3 , 47.7430573 , 4.92999983
3 , 245.238098 , 4.92999983
2 , 213.796799 , 4.92999983
3 , 266.179535 , 4.92999983
3 , 221.302078 , 4.92999983
3 , 286.666656 , 4.92999983
4 , 288.677826 , 4.92999983
4 , 199.782791 , 4.92999983
3 , 278.5 , 4.92999983
5 , 336.13446 , 4.92999983
4 , 215.668198 , 4.92999983
4 , 248.07579 , 4.92999983
4 , 273.302948 , 4.92999983
3 , 201.319443 , 4.92999983
3 , 247.518616 , 4.92999983
4 , 316.455688 , 4.92999983
3 , 265.47052 , 4.92999983
3 , 219.89772 , 4.92999983
3 , 216.252701 , 4.92999983
3 , 277.061859 , 4.92999983
3 , 211.413269 , 4.92999983
4 , 244.604309 , 4.92999983
3 , 226.798752 , 4.92999983
3 , 231.554153 , 4.92999983
3 , 233.004379 , 4.92999983
3 , 216.875809 , 4.92999983
4 , 218.556702 , 4.92999983
5 , 182.288071 , 4.92999983
4 , 218.950745 , 4.92999983
2 , 52.0833321 , 4.92999983
5 , 207.703934 , 4.92999983
3 , 159.893372 , 4.92999983
3 , 268.117401 , 4.92999983
2 , 159.958725 , 4.92999983
3 , 186.93425 , 4.92999983
3 , 222.707794 , 4.92999983
3 , 228.967499 , 4.92999983
3 , 218.621399 , 4.92999983
3 , 247.51712 , 4.92999983
3 , 269.819824 , 4.92999983
3 , 180.800003 , 4.92999983
3 , 277.129517 , 4.92999983
3 , 214.520737 , 4.92999983
3 , 490.496613 , 4.92999983
3 , 166.246857 , 4.92999983
3 , 223.472427 , 4.92999983
3 , 183.022568 , 4.92999983
3 , 248.456787 , 4.92999983
3 , 272.817474 , 4.92999983
3 , 187.288132 , 4.92999983
3 , 181.909286 , 4.92999983
3 , 193.886459 , 4.92999983
3 , 178.355499 , 4.92999983
2 , 995.674744 , 4.92999983
5 , 236.318176 , 4.92999983
3 , 214.126801 , 4.92999983
4 , 164.522675 , 4.92999983
3 , 211.266907 , 4.92999983
3 , 213.266769 , 4.92999983
3 , 212.224747 , 4.92999983
3 , 178.394531 , 4.92999983
3 , 198.425735 , 4.92999983
6 , 258.294434 , 4.92999983
3 , 198.135193 , 4.92999983
4 , 278.14209 , 4.92999983
4 , 191.168091 , 4.92999983
3 , 226.407608 , 4.92999983
3 , 174.858978 , 4.92999983
3 , 42.3896637 , 4.92999983
3 , 71.3216171 , 4.92999983
3 , 297.969177 , 4.92999983
5 , 165.462158 , 4.92999983
5 , 171.696671 , 4.92999983
2 , 134.226654 , 4.92999983
3 , 176.242233 , 4.92999983
3 , 254.588989 , 4.92999983
3 , 159.485748 , 4.92999983
3 , 175.81395 , 4.92999983
