@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 


@DATA 
1 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 1 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 3 , 1.29999995 , 25849
4 , 3 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 1 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 4 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
2 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 4 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 1 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 1 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
6 , 4 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
5 , 4 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
3 , 2 , 4.92999983 , 102216
2 , 2 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
4 , 2 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
5 , 3 , 4.92999983 , 102216
4 , 3 , 4.92999983 , 102216
2 , 2 , 5.46999979 , 462
4 , 2 , 1.45000005 , 4964
3 , 2 , 1.45000005 , 4964
5 , 3 , 1.45000005 , 4964
