@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 


@DATA 
152000 , 3 , 2 , 126.666664
350000 , 3 , 3 , 281.350494
289900 , 2 , 1 , 255.418503
450000 , 3 , 2 , 303.234497
519900 , 3 , 3 , 286.446289
979000 , 3 , 3 , 479.901947
1500000 , 3 , 3 , 600
149000 , 1 , 2 , 372.5
250000 , 2 , 1 , 283.125702
239000 , 3 , 1 , 269.144135
250000 , 3 , 1 , 250
260000 , 2 , 1 , 262.626251
310000 , 2 , 1 , 281.818176
350000 , 3 , 2 , 321.691162
329900 , 3 , 2 , 298.822449
315000 , 3 , 2 , 267.857147
320000 , 3 , 2 , 272.108856
324100 , 3 , 3 , 281.336792
329000 , 3 , 2 , 256.430237
225000 , 3 , 2 , 181.451614
380000 , 4 , 2 , 292.307678
369000 , 3 , 2 , 280.395142
199000 , 2 , 1 , 159.455124
378000 , 3 , 2 , 290.769226
249000 , 3 , 2 , 194.53125
310000 , 2 , 2 , 248.39743
265000 , 3 , 3 , 210.484512
459900 , 3 , 2 , 355.409576
295000 , 3 , 2 , 217.55162
399000 , 3 , 2 , 309.782623
369500 , 3 , 2 , 280.775085
282000 , 3 , 2 , 208.734268
285000 , 2 , 2 , 210.954849
239000 , 3 , 2 , 176.514038
300000 , 3 , 2 , 219.298248
324999 , 3 , 2 , 236.87973
415000 , 3 , 2 , 296.428558
324900 , 3 , 2 , 231.410263
535000 , 3 , 2 , 382.142853
399000 , 3 , 2 , 277.083344
209900 , 3 , 2 , 145.763885
425900 , 3 , 2 , 289.727905
320000 , 3 , 2 , 217.243713
397900 , 3 , 2 , 268.66983
375000 , 3 , 2 , 251.846878
344000 , 3 , 2 , 223.958328
259000 , 3 , 2 , 169.281052
370000 , 3 , 2 , 237.7892
400000 , 3 , 2 , 246.913574
395000 , 3 , 2 , 242.331284
400000 , 3 , 2 , 243.902435
399000 , 3 , 2 , 240.796616
367000 , 3 , 2 , 220.552887
500000 , 3 , 2 , 299.401184
405000 , 3 , 2 , 238.5159
325000 , 3 , 2 , 193.452377
525000 , 3 , 2 , 308.823517
449000 , 3 , 2 , 261.807587
384000 , 3 , 2 , 215.609207
375000 , 3 , 2 , 212.104065
510000 , 4 , 3 , 283.333344
989000 , 3 , 2 , 549.444458
575000 , 4 , 2 , 308.807739
945000 , 3 , 3 , 500.529663
435000 , 4 , 2 , 229.309433
2490000 , 3 , 4 , 1327.29211
450000 , 4 , 3 , 236.842102
444900 , 3 , 2 , 235.39682
579000 , 4 , 2 , 297.075409
425000 , 3 , 2 , 217.613922
469900 , 3 , 2 , 238.527924
410000 , 3 , 3 , 205.823288
399990 , 4 , 3 , 199.994995
439000 , 4 , 2 , 213.83342
895000 , 4 , 2 , 441.975311
399000 , 4 , 2 , 191.091949
410000 , 3 , 2 , 195.610687
465000 , 3 , 2 , 219.962158
770000 , 4 , 2 , 360.486877
379000 , 3 , 3 , 177.102798
509000 , 4 , 2 , 237.406723
499900 , 3 , 3 , 232.403534
435500 , 4 , 2 , 200.598801
452000 , 4 , 3 , 205.454544
535000 , 3 , 3 , 244.403839
565000 , 3 , 2 , 253.249664
825000 , 3 , 3 , 362.15979
559000 , 4 , 3 , 241.991348
549000 , 4 , 3 , 233.716476
615000 , 3 , 2 , 257.107025
529000 , 3 , 2 , 215.303223
525000 , 4 , 3 , 210.168137
885000 , 3 , 3 , 354.141663
639900 , 5 , 3 , 235.170898
825000 , 5 , 3 , 298.480469
564900 , 4 , 3 , 201.246887
485000 , 4 , 3 , 159.22522
620000 , 4 , 3 , 202.086044
1350000 , 4 , 3 , 431.17215
569000 , 5 , 3 , 180.922104
849000 , 4 , 3 , 267.992432
535000 , 5 , 6 , 144.594589
610000 , 2 , 1 , 977.564087
675000 , 2 , 1 , 794.117676
425000 , 2 , 2 , 357.74411
795000 , 3 , 2 , 605.945129
754000 , 3 , 2 , 538.571411
835000 , 2 , 2 , 601.151917
650000 , 2 , 3 , 363.941772
700000 , 3 , 2 , 400.228699
1400000 , 3 , 4 , 700
799000 , 3 , 3 , 393.984222
1295000 , 3 , 3 , 611.425903
770000 , 3 , 2 , 380.999512
1279000 , 2 , 2 , 576.64563
774888 , 3 , 3 , 367.768402
824900 , 3 , 3 , 311.635803
949000 , 3 , 3 , 374.358978
1195000 , 3 , 3 , 439.98526
1599000 , 4 , 4 , 410
309500 , 2 , 2 , 320.393372
419000 , 2 , 2 , 437.369507
550000 , 3 , 2 , 474.137939
459000 , 2 , 2 , 384.744354
225000 , 3 , 2 , 175.233643
155000 , 3 , 2 , 113.304092
599000 , 3 , 2 , 427.857147
759000 , 3 , 2 , 542.142883
728234 , 3 , 3 , 485.489319
509000 , 4 , 2 , 330.09079
599000 , 2 , 3 , 361.496674
439999 , 3 , 2 , 265.379364
499500 , 3 , 3 , 286.73938
734900 , 3 , 2 , 349.952393
