@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE income NUMERIC 


@DATA 
450000 , 3 , 2 , 1492 , 301.608582 , 2.38000011 , 14276 , 32328
459000 , 3 , 2 , 1535 , 299.022797 , 2.38000011 , 14276 , 32328
679000 , 3 , 2 , 1800 , 377.222229 , 2.38000011 , 14276 , 32328
549000 , 3 , 2 , 1953 , 281.105988 , 2.38000011 , 14276 , 32328
639000 , 3 , 2 , 2144 , 298.041046 , 2.38000011 , 14276 , 32328
522000 , 3 , 3 , 1529 , 341.399597 , 2.38000011 , 14276 , 32328
598500 , 3 , 3 , 2100 , 285 , 2.38000011 , 14276 , 32328
845000 , 3 , 3 , 2550 , 331.372559 , 2.38000011 , 14276 , 32328
974000 , 3 , 3 , 2840 , 342.957733 , 2.38000011 , 14276 , 32328
971840 , 3 , 3 , 3374 , 288.037933 , 2.38000011 , 14276 , 32328
2499000 , 6 , 7 , 5126 , 487.514618 , 2.38000011 , 14276 , 32328
395000 , 2 , 2 , 1200 , 329.166656 , 3.05999994 , 10461 , 31899
549000 , 3 , 2 , 1177 , 466.440094 , 3.05999994 , 10461 , 31899
590000 , 3 , 3 , 1341 , 439.970184 , 3.05999994 , 10461 , 31899
700000 , 2 , 2 , 1408 , 497.159088 , 3.05999994 , 10461 , 31899
895000 , 3 , 3 , 1550 , 577.419373 , 3.05999994 , 10461 , 31899
785000 , 2 , 2 , 1563 , 502.239288 , 3.05999994 , 10461 , 31899
495000 , 4 , 2 , 1800 , 275 , 3.05999994 , 10461 , 31899
694000 , 4 , 2 , 2245 , 309.131409 , 3.05999994 , 10461 , 31899
735000 , 3 , 3 , 2016 , 364.583344 , 3.05999994 , 10461 , 31899
694000 , 3 , 3 , 2068 , 335.589935 , 3.05999994 , 10461 , 31899
750000 , 3 , 2 , 2274 , 329.815308 , 3.05999994 , 10461 , 31899
849500 , 3 , 3 , 2402 , 353.663605 , 3.05999994 , 10461 , 31899
1340000 , 4 , 3 , 3200 , 418.75 , 3.05999994 , 10461 , 31899
1550000 , 4 , 4 , 3400 , 455.882355 , 3.05999994 , 10461 , 31899
5500000 , 4 , 3 , 3780 , 1455.02649 , 3.05999994 , 10461 , 31899
89100 , 3 , 1 , 1056 , 84.375 , 6.63000011 , 517 , 16797
225000 , 2 , 2 , 840 , 267.857147 , 2.63000011 , 16714 , 26052
159000 , 3 , 1 , 1000 , 159 , 2.63000011 , 16714 , 26052
359000 , 2 , 2 , 980 , 366.326538 , 2.63000011 , 16714 , 26052
379000 , 3 , 2 , 1100 , 344.545441 , 2.63000011 , 16714 , 26052
