@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
475000 , 5 , 144.772934 , 3.50999999
1295000 , 5 , 249.038467 , 3.50999999
875000 , 5 , 289.256195 , 3.50999999
589000 , 5 , 228.029419 , 3.50999999
1350000 , 10 , 270 , 3.50999999
825000 , 2 , 634.615356 , 3.95000005
856000 , 2 , 658.461548 , 3.95000005
2950000 , 4 , 716.193237 , 3.95000005
200000 , 3 , 161.812302 , 5.17000008
394900 , 3 , 196.859421 , 5.36000013
749500 , 4 , 246.546051 , 5.36000013
249000 , 3 , 253.564148 , 5.36000013
799000 , 3 , 364.175018 , 5.36000013
349000 , 2 , 362.409149 , 5.36000013
400000 , 3 , 277.777771 , 5.36000013
525000 , 3 , 312.128418 , 5.36000013
725000 , 3 , 553.43512 , 5.36000013
434000 , 3 , 333.846161 , 5.36000013
995000 , 4 , 318.910248 , 5.36000013
450000 , 4 , 272.727264 , 5.36000013
409000 , 4 , 229.775284 , 5.36000013
501000 , 4 , 250.5 , 5.36000013
429000 , 1 , 724.66217 , 2.16000009
535000 , 2 , 423.930267 , 2.16000009
475000 , 2 , 382.755829 , 2.16000009
517000 , 2 , 460.784302 , 2.16000009
787500 , 2 , 671.355469 , 2.16000009
399500 , 2 , 266.333344 , 2.16000009
895000 , 2 , 566.455688 , 2.16000009
806000 , 2 , 357.427948 , 2.16000009
569000 , 3 , 406.138458 , 2.16000009
675000 , 3 , 418.215607 , 2.16000009
659000 , 3 , 411.875 , 2.16000009
879000 , 3 , 479.541748 , 2.16000009
699000 , 3 , 367.894745 , 2.16000009
1995000 , 3 , 932.242981 , 2.16000009
599000 , 3 , 295.80246 , 2.16000009
799000 , 3 , 322.828278 , 2.16000009
1300000 , 4 , 433.333344 , 2.16000009
639500 , 4 , 556.086975 , 2.16000009
1395000 , 4 , 405.052277 , 2.16000009
899000 , 5 , 448.826752 , 2.16000009
1450000 , 5 , 414.285706 , 2.16000009
979000 , 3 , 514.721375 , 0.670000017
750000 , 2 , 524.475525 , 0.670000017
1995000 , 3 , 614.791992 , 0.670000017
85000 , 2 , 95.7207184 , 0.670000017
110000 , 3 , 126.436783 , 0.670000017
210000 , 3 , 159.090912 , 0.670000017
182000 , 3 , 106.060608 , 0.670000017
159130 , 4 , 84.733757 , 0.670000017
240000 , 4 , 102.827766 , 0.670000017
185000 , 5 , 98.5090485 , 0.670000017
310000 , 4 , 155 , 5.28000021
300000 , 1 , 500 , 3.13000011
369900 , 2 , 448.363647 , 3.13000011
290000 , 2 , 290 , 3.13000011
299000 , 2 , 260 , 3.13000011
489000 , 2 , 429.323975 , 3.13000011
449000 , 3 , 299.333344 , 3.13000011
515000 , 3 , 446.660889 , 3.13000011
479000 , 3 , 382.282532 , 3.13000011
679000 , 3 , 520.705505 , 3.13000011
489000 , 3 , 356.934296 , 3.13000011
278500 , 3 , 210.984848 , 3.13000011
480000 , 3 , 333.333344 , 3.13000011
500000 , 3 , 333.333344 , 3.13000011
445900 , 3 , 276.270142 , 3.13000011
499000 , 3 , 266.702301 , 3.13000011
634500 , 3 , 329.43924 , 3.13000011
745000 , 3 , 323.913055 , 3.13000011
759000 , 3 , 316.25 , 3.13000011
700000 , 3 , 212.121216 , 3.13000011
650000 , 4 , 376.811584 , 3.13000011
449000 , 4 , 221.947601 , 3.13000011
178340 , 2 , 178.339996 , 1.38999999
318000 , 3 , 244.615387 , 1.38999999
242150 , 3 , 184.847336 , 1.38999999
330000 , 3 , 197.604797 , 5.13000011
624900 , 4 , 236.794235 , 5.13000011
210000 , 3 , 210 , 5.13000011
495000 , 3 , 317.307678 , 1.75
199280 , 3 , 191.615387 , 4.48000002
255000 , 3 , 236.111115 , 4.48000002
49900 , 3 , 47.253788 , 4.48000002
279000 , 3 , 224.27652 , 4.48000002
230000 , 3 , 184.442657 , 4.48000002
229900 , 3 , 182.026917 , 4.48000002
250000 , 3 , 198.255356 , 4.48000002
189000 , 3 , 150.477707 , 4.48000002
220000 , 3 , 158.273376 , 4.48000002
272000 , 3 , 172.917984 , 4.48000002
333900 , 3 , 208.296936 , 4.48000002
329000 , 3 , 197.954269 , 4.48000002
343390 , 3 , 207.110977 , 4.48000002
456000 , 3 , 257.627106 , 4.48000002
185000 , 3 , 127.762428 , 4.48000002
369000 , 3 , 212.06897 , 4.48000002
403900 , 3 , 169.279129 , 4.48000002
270000 , 4 , 218.270004 , 4.48000002
285000 , 4 , 233.606552 , 4.48000002
280000 , 4 , 226.35408 , 4.48000002
315000 , 4 , 225 , 4.48000002
301500 , 4 , 213.829788 , 4.48000002
285000 , 4 , 168.838867 , 4.48000002
568000 , 4 , 180.317459 , 4.48000002
612900 , 4 , 191.53125 , 4.48000002
109000 , 1 , 181.666672 , 2.38000011
373500 , 2 , 478.846161 , 2.38000011
349000 , 2 , 436.25 , 2.38000011
415000 , 2 , 435.924377 , 2.38000011
437500 , 2 , 490.470856 , 2.38000011
489900 , 2 , 450.275726 , 2.38000011
437000 , 2 , 336.153839 , 2.38000011
499950 , 2 , 358.130371 , 2.38000011
479000 , 3 , 488.775513 , 2.38000011
429000 , 3 , 366.353546 , 2.38000011
423000 , 3 , 364.969788 , 2.38000011
435000 , 3 , 335.389374 , 2.38000011
450000 , 3 , 301.608582 , 2.38000011
459000 , 3 , 299.022797 , 2.38000011
679000 , 3 , 377.222229 , 2.38000011
549000 , 3 , 281.105988 , 2.38000011
639000 , 3 , 298.041046 , 2.38000011
522000 , 3 , 341.399597 , 2.38000011
598500 , 3 , 285 , 2.38000011
845000 , 3 , 331.372559 , 2.38000011
974000 , 3 , 342.957733 , 2.38000011
971840 , 3 , 288.037933 , 2.38000011
2499000 , 6 , 487.514618 , 2.38000011
395000 , 2 , 329.166656 , 3.05999994
549000 , 3 , 466.440094 , 3.05999994
590000 , 3 , 439.970184 , 3.05999994
700000 , 2 , 497.159088 , 3.05999994
895000 , 3 , 577.419373 , 3.05999994
785000 , 2 , 502.239288 , 3.05999994
495000 , 4 , 275 , 3.05999994
694000 , 4 , 309.131409 , 3.05999994
735000 , 3 , 364.583344 , 3.05999994
694000 , 3 , 335.589935 , 3.05999994
750000 , 3 , 329.815308 , 3.05999994
849500 , 3 , 353.663605 , 3.05999994
1340000 , 4 , 418.75 , 3.05999994
1550000 , 4 , 455.882355 , 3.05999994
5500000 , 4 , 1455.02649 , 3.05999994
89100 , 3 , 84.375 , 6.63000011
225000 , 2 , 267.857147 , 2.63000011
159000 , 3 , 159 , 2.63000011
