@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
459000 , 3 , 1535 , 2.38000011
679000 , 3 , 1800 , 2.38000011
549000 , 3 , 1953 , 2.38000011
639000 , 3 , 2144 , 2.38000011
522000 , 3 , 1529 , 2.38000011
598500 , 3 , 2100 , 2.38000011
845000 , 3 , 2550 , 2.38000011
974000 , 3 , 2840 , 2.38000011
971840 , 3 , 3374 , 2.38000011
2499000 , 6 , 5126 , 2.38000011
395000 , 2 , 1200 , 3.05999994
549000 , 3 , 1177 , 3.05999994
590000 , 3 , 1341 , 3.05999994
700000 , 2 , 1408 , 3.05999994
895000 , 3 , 1550 , 3.05999994
785000 , 2 , 1563 , 3.05999994
495000 , 4 , 1800 , 3.05999994
694000 , 4 , 2245 , 3.05999994
735000 , 3 , 2016 , 3.05999994
694000 , 3 , 2068 , 3.05999994
750000 , 3 , 2274 , 3.05999994
849500 , 3 , 2402 , 3.05999994
1340000 , 4 , 3200 , 3.05999994
1550000 , 4 , 3400 , 3.05999994
5500000 , 4 , 3780 , 3.05999994
89100 , 3 , 1056 , 6.63000011
225000 , 2 , 840 , 2.63000011
159000 , 3 , 1000 , 2.63000011
359000 , 2 , 980 , 2.63000011
379000 , 3 , 1100 , 2.63000011
350000 , 3 , 1106 , 2.63000011
374900 , 3 , 1100 , 2.63000011
380000 , 3 , 1128 , 2.63000011
680000 , 2 , 1200 , 2.63000011
425000 , 4 , 1284 , 2.63000011
345000 , 4 , 1344 , 2.63000011
550000 , 3 , 1328 , 2.63000011
449000 , 3 , 1655 , 2.63000011
474900 , 4 , 1600 , 2.63000011
499000 , 3 , 1650 , 2.63000011
419900 , 4 , 1638 , 2.63000011
499000 , 3 , 1796 , 2.63000011
499000 , 4 , 1838 , 2.63000011
595000 , 3 , 1982 , 2.63000011
569000 , 4 , 1933 , 2.63000011
