@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
699000 , 3 , 3 , 1900 , 2.16000009 , 6032 , 46.2000008
1995000 , 3 , 3 , 2140 , 2.16000009 , 6032 , 46.2000008
599000 , 3 , 3 , 2025 , 2.16000009 , 6032 , 46.2000008
799000 , 3 , 3 , 2475 , 2.16000009 , 6032 , 46.2000008
1300000 , 4 , 3 , 3000 , 2.16000009 , 6032 , 46.2000008
639500 , 4 , 3 , 1150 , 2.16000009 , 6032 , 46.2000008
1395000 , 4 , 4 , 3444 , 2.16000009 , 6032 , 46.2000008
899000 , 5 , 3 , 2003 , 2.16000009 , 6032 , 46.2000008
1450000 , 5 , 4 , 3500 , 2.16000009 , 6032 , 46.2000008
979000 , 3 , 3 , 1902 , 0.670000017 , 2592 , 34.9799995
750000 , 2 , 2 , 1430 , 0.670000017 , 2592 , 34.9799995
1995000 , 3 , 3 , 3245 , 0.670000017 , 2592 , 34.9799995
85000 , 2 , 1 , 888 , 0.670000017 , 16755 , 34.9799995
110000 , 3 , 1 , 870 , 0.670000017 , 16755 , 34.9799995
210000 , 3 , 2 , 1320 , 0.670000017 , 16755 , 34.9799995
182000 , 3 , 2 , 1716 , 0.670000017 , 16755 , 34.9799995
159130 , 4 , 3 , 1878 , 0.670000017 , 16755 , 34.9799995
240000 , 4 , 3 , 2334 , 0.670000017 , 16755 , 34.9799995
185000 , 5 , 2 , 1878 , 0.670000017 , 16755 , 34.9799995
310000 , 4 , 2 , 2000 , 5.28000021 , 16869 , 8.80000019
300000 , 1 , 1 , 600 , 3.13000011 , 13432 , 20.4099998
369900 , 2 , 1 , 825 , 3.13000011 , 13432 , 20.4099998
290000 , 2 , 2 , 1000 , 3.13000011 , 13432 , 20.4099998
299000 , 2 , 2 , 1150 , 3.13000011 , 13432 , 20.4099998
489000 , 2 , 2 , 1139 , 3.13000011 , 13432 , 20.4099998
449000 , 3 , 1 , 1500 , 3.13000011 , 13432 , 20.4099998
515000 , 3 , 2 , 1153 , 3.13000011 , 13432 , 20.4099998
479000 , 3 , 2 , 1253 , 3.13000011 , 13432 , 20.4099998
679000 , 3 , 2 , 1304 , 3.13000011 , 13432 , 20.4099998
489000 , 3 , 2 , 1370 , 3.13000011 , 13432 , 20.4099998
278500 , 3 , 2 , 1320 , 3.13000011 , 13432 , 20.4099998
480000 , 3 , 2 , 1440 , 3.13000011 , 13432 , 20.4099998
500000 , 3 , 2 , 1500 , 3.13000011 , 13432 , 20.4099998
445900 , 3 , 2 , 1614 , 3.13000011 , 13432 , 20.4099998
499000 , 3 , 2 , 1871 , 3.13000011 , 13432 , 20.4099998
634500 , 3 , 2 , 1926 , 3.13000011 , 13432 , 20.4099998
745000 , 3 , 2 , 2300 , 3.13000011 , 13432 , 20.4099998
759000 , 3 , 3 , 2400 , 3.13000011 , 13432 , 20.4099998
700000 , 3 , 3 , 3300 , 3.13000011 , 13432 , 20.4099998
650000 , 4 , 2 , 1725 , 3.13000011 , 13432 , 20.4099998
